автор: автор авторе автором
авторство: авторства
азкабана: азкабана
актер: актеров
актриса: актриса
алфавит: алфавиту
альбус: альбус
альбусом: альбусом
англ: англ
английский: английский
апрель: апреля
архивировать: архивировано
барда: барда
бежать: бегущая
белизна: белизна
бестиарий: бестиарий бестиарии
библиографический: библиографических
библиотека: библиотеки
бидля: бидля
благодаря: благодаря
благотворительный: благотворительный
блумсбери: блумсбери
български: български
вакансия: вакансия
вальд: вальд
вальда: вальда
введение: введение
вд: вд
ведьма: ведьмы
версия: версия
вид: видов
визит: визита
викиданных: викиданных
викии: викии
викимедиа: викимедиа
википедии: википедии
википедия: википедия
вклад: вклад
власть: власти
вместе: вместе
внешний: внешние
возвращение: возвращение
войти: войти
волан: волан
волшебный: волшебные волшебный
восторженный: восторженного
время: время
все: всему
вселенная: вселенная вселенной
встречаться: встречается
второй: второй
выйти: вышло вышел
вымыслить: вымышленные вымышленный вымышленная
выпуск: выпуск
выпустить: выпущенная
выручка: выручка
гарри: гарри
геллерт: геллерт
гера: герой
гермиона: гермиона
героизм: героизме
герой: героях
гиппогриф: гиппогрифов
главное: главных
главный: главный главную
год: году годах лет годы года
грейнджер: грейнджер
грин: грин
дамблдор: дамблдор
дамблдора: дамблдора
дамблдором: дамблдором
дар: дары
дата: дата
дать: дано
два: два
де: де
действие: действия действие
действовать: действовать
декабрь: декабря
день: дней
дж: дж
джоан: джоан
дилогия: дилогия
дисциплина: дисциплине
дитя: дитя
док: док
домашние: домашних
дополнительный: дополнительные
дорсете: дорсете
достаться: досталась
доступный: доступен
драко: драко
древность: древности
другой: другие других
дурмстранг: дурмстранг
дурной: дурная
жанр: жанр
жена: женой
женский: женскую
животное: животным
жмырами: жмырами
заглавный: заглавная
заниматься: занимался
запись: запись
запрет: запрет
зарегистрировать: зарегистрированный
затем: затем
заявление: заявление
зверь: зверь зверей звери
зло: зла
знак: знак
зов: зов
зоолог: зоологом
зоология: зоологии
игра: игра игры
избранный: избранные
известно: известно
известный: известным
издатель: издатель
издательство: издательстве
издать: издан
икабог: икабог
имя: имена
инструмент: инструменты
интерес: интереса
информация: информация
использование: использования
история: история
источник: источник
июнь: июня
йорк: йорке
камень: камень
картина: картина
карточный: карточная
каталог: каталогах
категория: категории категория
квиддич: квиддич
квиддичу: квиддичу
киностудия: киностудия
классификация: классификация
книга: книги книгой книге книга
код: код
кодекс: кодекс
коллекционный: коллекционная
комната: комната
конструктор: конструктор
континент: континентам
контроль: контроля
конфиденциальность: конфиденциальности
копия: копия
корморане: корморане
короткий: короткие короткий
который: которой которого
кровь: кровь
кубок: кубок
кук: куки
кукушка: кукушки
курс: курса
кэтрин: кэтрин
лахути: лахути
лицензия: лицензии
лишение: лишениях
локация: локации
магический: магической магических магическим магическими
магия: магия магии
маглов: маглов
маглы: маглы
майя: майя
макгонагалл: макгонагалл
малфой: малфой
материал: материал
мать: матери
махаон: махаон
мерлина: мерлина
место: места
миллион: млн
минерва: минерва
министерство: министерством министерство министерстве
мир: мира миру мир
миссис: миссис
многие: многих
мобильный: мобильная
могила: могила
можно: можно
морт: морт
мочь: могут
музыка: музыка
мы: нами
наблюденье: наблюдений
навигация: навигации навигация
над: над
назойливый: назойливых
найти: найдена найденных
написать: написанная написано написан написанной
направить: направлены
например: например
находиться: находится
наш: наших
невероятный: невероятным
