автор: автора автор
авторство: авторства
ад: ад
алфавит: алфавиту
алчный: алчны
альфред: альфреда
амбициозный: амбициозны
ангельский: ангельским
англ: англ
английский: английский английской английского английские
апрель: апреля
артемиса: артемиса
артемисе: артемисе
архивный: архивная
бабочка: бабочек
барби: барби
баттена: баттена
бауэр: бауэра
безнравственный: безнравственны
безобидный: безобидных
бестиарий: бестиарии
блестеть: блестящим
блэк: блэк
больший: большими больше
большой: большой
брауни: брауни
британский: британского
бросать: бросают
быстро: быстро
быстрый: быстрые
ваш: ваша
ввиде: ввиде
вера: веры
вересковый: вересковых
версия: версия версии
веселиться: веселиться
вид: видом виде
викиданных: викиданных
викимедиа: викимедиа
википедии: википедии
википедия: википедия
викисклад: викисклад
викискладе: викискладе
винкс: винкс
вклад: вклад
власть: власть
влиять: влияет
внешне: внешне
внешний: внешние
внимание: внимания
воздух: воздухе
войти: войти
волшебница: волшебниц
волшебный: волшебном
восемь: восьми
впрочем: впрочем
время: время
все: всех
всевозможный: всевозможным
всеять: всей
встреча: встреча
встречаться: встречаются
вывернуть: вывернуть
выдержка: выдержка
выполнять: выполняя
высокий: высоких высоко
гарри: гарри
гениальный: гениальном
героиня: героини
главный: главной
глаз: глаза
гном: гномов
год: году год года
гость: гостя
графство: графствах
девон: девон девоне
действовать: действовать
декабрь: декабрь
дело: деле
демонстрировать: демонстрирует
деньга: деньги
деревня: деревне
детская: детских
джон: джона
добродушный: добродушны
добрый: добрая добрый добрые
довольный: довольно
дольмен: дольмены
дом: дому
дополнительный: дополнительные
дорогой: дороги
достигать: достигать
доступный: доступен
древние: древние
друг: другом
другой: другим другие других
дружелюбный: дружелюбны
друид: друидов
дух: духи
дюйм: дюймов
единственный: единственная
желание: желаний
желать: желая
железный: железный
жеребенок: жеребят
жестокий: жестокую
живородящий: живородящи
жизнь: жизнь
житель: жителей
жить: живут
забава: забава
забрать: забрали
забросить: заброшенными
заглавный: заглавная
зажимать: зажимая
занзаре: занзаре
заострить: заостренными
запись: запись
заполнить: заполнить
запрос: запросы
зарегистрировать: зарегистрированный
зародиться: зародившимися
захватить: захватить
защита: защиты
заявление: заявление
зверь: звери
златопуст: златопуст
злодей: злодее
злой: злым
знак: знак
значение: значения
значительно: значительно
игра: игре игры
избегать: избегать
избранный: избранные
известный: известных известны
изображение: изображениями
изобретательный: изобретательны
иллюстрация: иллюстрация
иметь: имеют
иногда: иногда
