август: августа
авторство: авторства
азкабана: азкабана
алфавит: алфавиту
англ: англ
анджелика: анджелику
ариосто: ариосто
архивировать: архивировано
архивный: архивная
астольф: астольф
астольфом: астольфом
боев: боевой
борхес: борхес
брадаманты: брадаманты
быстрый: быстр
быть: были
век: века
величина: величине
вельтмана: вельтмана
вергилий: вергилию
версия: версия версии
верх: верхом
верховый: верхового
вид: виде
викиданных: викиданных
викимедиа: викимедиа
википедии: википедии
википедия: википедия
викисклад: викисклад
викискладе: викискладе
вклад: вклад
воздушный: воздушной
возможно: возможно
войти: войти
вокруг: вокруг
время: времена
все: всех
вскоре: вскоре
встретить: встретили
вымыслить: вымышленных
г: г
галерея: галерея
гарри: гарри
герб: гербах
герой: героя
гибрид: гибрид гибриды
гиппогриф: гиппогрифы гиппогрифа гиппогрифе гиппогриф
главное: главного
го: го
год: году года
голова: головы
греча: греч
гриб: грибы
гриф: грифах грифы
грифон: грифоном грифон грифона
гюстав: гюстав
гюстава: гюстава
далекий: дальше
дата: дата
дать: данном дать
действовать: действовать
длинный: длиннее
довольный: довольно
доминик: доминик
дополнение: дополнении
дополнительный: дополнительные
дора: доре
достаточно: достаточно
доступный: доступен
другой: другому других другого
дружба: дружба
единица: единицы
еж: ежа
ездить: ездят
ездовой: ездового
ехать: едущие
жан: жан
животное: животного животные
заглавный: заглавная
запись: запись
заполнить: заполнить
зарегистрировать: зарегистрированный
захватить: захвачены
заявление: заявление
знак: знак
значительно: значительно
игра: игре
играть: играет
избранный: избранные
изображаться: изображался
изображение: изображениями
иллюстрация: иллюстрация
имя: имени
индиго: индиго
иной: иное
инструмент: инструменты
искусство: искусстве
использование: использования
использоваться: используется
история: история истории
источник: источник
итальянский: итальянский
й: й
каждый: каждое
калимероса: калимероса
категория: категории
качество: качестве
книга: книгах книге
кобыла: кобылой
код: код
кодекс: кодекс
компьютерный: компьютерной
конекоршунов: конекоршунов
конекоршуны: конекоршуны
конфиденциальность: конфиденциальности
конь: конями коня
копия: копия
корабль: корабле
короткий: короткий
который: который
кук: куки
лайт: лайт
ланселот: ланселот
лата: лат
лев: льва
лес: лесу
летать: летать
либо: либо
литература: литература
лицензия: лицензии
лошадь: лошади лошадь
лудовико: лудовико
луиса: луис
лукиан: лукиана
луна: луну
маг: маги
марта: марта
материал: материал
маховый: маховых
мачта: мачты
медиафайлы: медиафайлы
мерлин: мерлин
мерлина: мерлина
мир: мира
мифический: мифическое мифический мифические
мифологический: мифологические
мифология: мифология
мобильный: мобильная
морской: морского
мочь: могут
мужчина: мужчины
мультсериала: мультсериала
мы: нами
н: н
навигация: навигации навигация
называться: называются
нападать: нападает
населять: населяют
начало: начале
невозможность: невозможность
неистовый: неистовый
