авторитетный: авторитетные
авторство: авторства
англ: англ
английский: английского
англия: англии
беззаботно: беззаботно
блестяще: блестяще
близкий: близко
болотный: болотно
вернее: вернее
версия: версия
вид: виде
викиданных: викиданных
викимедиа: викимедиа
википедии: википедии
википедия: википедия
вклад: вклад
включать: включавший
вод: воде
вода: водой
воды: воды
водяной: водяная водяной
возле: возле
войти: войти
волшебник: волшебников
время: время
второе: второго
гарри: гарри
год: года
гриндилоу: гриндилоу
действовать: действовать
делакур: делакур
дж: дж
дженни: дженни
длиннорукий: длиннорукую
длинный: длинными
дно: дно
добавить: добавив
должен: должна
дома: дома
дополнительный: дополнительные
доступный: доступен
другой: других
дух: духи
жертва: жертве
жить: живущий
заглавный: заглавная
загрыбаст: загрыбаст
задание: задания
запись: запись
зарегистрировать: зарегистрированный
затем: затем
заявление: заявление
зверь: зверя
зеленозубой: зеленозубой
знак: знак
знать: знают
играющий: играющего
избранный: избранные
известный: известна
имя: именем
иначе: иначе
инструмент: инструменты
информация: информация
использование: использования
использовать: использовал использует
история: история
источник: источников источники источник
йоркшир: йоркшира
кабинет: кабинете
категория: категории
качество: качестве
книга: книге
код: код
кодекс: кодекс
колодезный: колодезная
колодец: колодцах
конец: конце
контроль: контроль
конфиденциальность: конфиденциальности
короткий: короткий
костлявый: костлявыми
кук: куки
ланкашире: ланкашире
легенда: легенд
литература: литературе
лицензия: лицензии
люпин: люпин люпина
материал: материал
мая: мая
место: место
мифический: мифическое
мобильный: мобильная
можно: можно
мочь: можете могут
мы: нами
мьевилла: мьевилла
навигация: навигации навигация
наиболее: наиболее
наметить: намеченному
нападать: нападали
народ: народ
настоящее: настоящего
некоммерческий: некоммерческой
нелли: нелли
нечисть: нечисть
новый: новые
об: об
обитать: обитающая
обожать: обожают
обсуждение: обсуждение
один: один
озеро: озере
они: них ними
опасный: опасные
описание: описание
опознать: опознать
организация: организации
острый: острыми
ответственность: ответственности
отдельный: отдельных
отказ: отказ
отредактировать: отредактировать отредактирована
ошибка: ошибке
палец: пальцы пальцами
пегий: пег
перейти: перейти
персонаж: персонажи
персональный: персональные
печать: печати
победить: победить
поведение: поведения
подробный: подробнее
пожертвовать: пожертвовать
познакомиться: познакомился
поиск: поиск поиску
политик: политика
получить: получить
посадить: посадив
последний: последний
поспеть: поспела
постоянный: постоянная
поттер: поттер поттере
править: править
правка: правки
представиться: представились
приходиться: приходится
проверять: проверяема
проект: проектах
просмотр: просмотры
пространство: пространства
профессор: профессора
пруд: пруды
разработчик: разработчики
рекомендация: рекомендации
родственница: родственницей
рожок: рожками
роман: романов
роулинг: роулинг
русский: русский
сантиметр: см
сведение: сведения
свежий: свежие
свободный: свободной
свой: своей
связанный: связанные
связаться: свяжитесь
седьмой: седьмой
серия: серии
система: системе
скачать: скачать
скрытый: скрытые
сломать: сломав
служебный: служебные
случай: случаях
случайный: случайная
сноска: сносок
событие: события
содержание: содержание
создание: создания
создать: создать
сообщество: сообщество
сообщить: сообщить
сохранение: сохранением
справка: справка
срок: сроку
ссылка: ссылка ссылки ссылок
статистика: статистика
статья: статью статья статье статьи
сторожевой: сторожевого
страница: страницы страница страницу странице
существо: существо
схватить: схватить
сюда: сюда
также: также
текст: текст
текущий: текущие
территория: территории
тест: тест
тип: тип
товарный: товарный
тот: та
третий: третьей
турнир: турнире
удаленный: удалена
указание: указанием
упоминаться: упоминалась
урок: уроках
условие: условий условия
утащить: утащил утащить
участие: участие
участник: участников
уязвимый: уязвимое
факт: факт
фольклор: фольклора
фонд: фонд
форум: форум
хватать: хватает
хогвартса: хогвартса
цвет: цвета
цепь: цепь
цитировать: цитировать
чайный: чайны
часть: частях
чересчур: чересчур
читать: читать
чтобы: чтобы
чудище: чудище
шрам: шрам
экзамен: экзамене
элемент: элемент
энциклопедия: энциклопедии
этот: эта
язык: языках
январь: января
